3.0257558962268183;0.0	4.220049289737678;0.0	4.068967466815079;0.0	4.159636241079666;0.0	4.086529109304121;0.0	
7.744582591159789;0.0	7.756655526954585;0.0	6.276555316177263;0.0	6.101725075815234;0.0	5.732105907552358;0.0	
3.957041648747777;0.0	5.44899305602082;0.0	4.597269229774367;0.0	4.288815295190188;0.0	4.2779677291394105;0.0	
2.492206075638446;0.0	4.3822541171471965;0.0	4.2927107193536935;0.0	4.328895245940371;0.0	4.205289559616968;0.0	
2.540924503166485;0.0	4.333549336701874;0.0	4.079230026841217;0.0	4.231272435749349;0.0	4.346568991092968;0.0	
3.345826202424348;0.0	4.331001352636482;0.0	4.019081348116561;0.0	4.1361674037868825;0.0	4.149322486789335;0.0	
3.677695291350774;0.0	4.073908589811038;0.0	4.05491068089816;0.0	4.000428746104712;0.0	4.250249432080664;0.0	
3.2262467557181247;0.0	4.266471108599828;0.0	4.031920869303969;0.0	4.202270476847379;0.0	4.308438251596239;0.0	
3.0400957707521674;0.0	4.435858951845047;0.0	4.263086427078275;0.0	4.124002354236432;0.0	4.021884773350245;0.0	
3.3458752390486795;0.0	4.324498091585632;0.0	4.241935442123697;0.0	4.247388049259728;0.0	4.156924916712731;0.0	
3.500162877889739;0.0	4.107265699759982;0.0	4.11901053696815;0.0	3.9963785263644263;0.0	4.170488236747623;0.0	
2.656120789026459;0.0	4.248965857580513;0.0	4.024773832658425;0.0	3.9825641148163298;0.0	4.006167040709719;0.0	
3.2088088329288333;0.0	4.284843617143599;0.0	4.111679116348976;0.0	4.079943320605356;0.0	4.2477403132530505;0.0	
3.407698018922075;0.0	4.4231979177922565;0.0	4.041714945639672;0.0	4.354532382652929;0.0	4.137244490800219;0.0	
3.515693792368374;0.0	4.196268278832541;0.0	4.2399453743963775;0.0	4.094266160998485;0.0	4.119235635505439;0.0	
3.2777894354286126;0.0	4.137950665558763;0.0	4.01570990081824;0.0	4.169729236961174;0.0	4.286178809305659;0.0	
3.0946584908024013;0.0	4.21485663035339;0.0	4.204374575094669;0.0	4.2496328411910795;0.0	4.175848912267188;0.0	
2.736376442661567;0.0	4.2678098627082655;0.0	4.129866746996652;0.0	3.959621477111206;0.0	4.0488705273715775;0.0	
2.786492304826213;0.0	4.069465553592472;0.0	4.073497662441155;0.0	4.21103622611261;0.0	4.107081029741369;0.0	
3.080662042685627;0.0	4.130025222338506;0.0	3.954665342693127;0.0	4.09655005441544;0.0	4.277917261841326;0.0	
2.6041242317787727;0.0	4.399504410266659;0.0	3.9975597391567117;0.0	4.049577873956157;0.0	4.137162043357106;0.0	
3.8899926624201195;0.0	4.308343765528611;0.0	4.273471827393227;0.0	4.017864418395209;0.0	4.102654939746153;0.0	
3.03605223179682;0.0	4.254744282600234;0.0	4.3463664532730055;0.0	4.342250305976252;0.0	4.176685535596759;0.0	
3.5667474799395253;0.0	4.133611366697896;0.0	4.234835416858043;0.0	4.408281577310656;0.0	4.202903160134083;0.0	
3.569945420260022;0.0	4.07131804581124;0.0	4.0974163356693225;0.0	4.087263416304749;0.0	4.161663769950466;0.0	
